Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
AbrahamSimpson_R1 - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.3333333333333333)	(20, 0.3939393939393939)	(25, 0.5151515151515151)	(30, 0.6060606060606061)	(35, 0.6060606060606061)	(40, 0.6060606060606061)	(45, 0.6060606060606061)	(50, 0.6666666666666666)	(55, 0.7272727272727273)	(60, 0.7575757575757576)	(65, 0.7575757575757576)	(70, 0.7575757575757576)	(75, 0.803030303030303)	(80, 0.909090909090909)	(85, 0.909090909090909)	(90, 1.0)	(95, 1.0757575757575757)	(100, 1.1363636363636365)	(105, 1.2121212121212122)	(110, 1.2878787878787878)	(115, 1.303030303030303)	(120, 1.3636363636363635)	(125, 1.3636363636363635)	(130, 1.4393939393939394)	(135, 1.5151515151515151)	(140, 1.6666666666666667)
AbrahamSimpson_R1_filtered - polya	(1, 0.22900763358778625)	(2, 0.22900763358778625)	(3, 0.22900763358778625)	(4, 0.22900763358778625)	(5, 0.22900763358778625)	(6, 0.22900763358778625)	(7, 0.22900763358778625)	(8, 0.22900763358778625)	(9, 0.22900763358778625)	(10, 0.22900763358778625)	(15, 0.33587786259541985)	(20, 0.39694656488549623)	(25, 0.5190839694656488)	(30, 0.6106870229007634)	(35, 0.6106870229007634)	(40, 0.6106870229007634)	(45, 0.6106870229007634)	(50, 0.6717557251908397)	(55, 0.732824427480916)	(60, 0.7633587786259542)	(65, 0.7633587786259542)	(70, 0.7633587786259542)	(75, 0.7786259541984732)	(80, 0.8396946564885497)	(85, 0.8396946564885497)	(90, 0.916030534351145)	(95, 0.931297709923664)	(100, 0.9923664122137404)	(105, 1.0687022900763359)	(110, 1.1450381679389312)	(115, 1.1603053435114503)	(120, 1.2213740458015268)	(125, 1.2213740458015268)	(130, 1.297709923664122)	(135, 1.3740458015267176)	(140, 1.5267175572519085)
AbrahamSimpson_R2 - polya	(1, 0.5303030303030303)	(2, 0.5303030303030303)	(3, 0.5303030303030303)	(4, 0.5303030303030303)	(5, 0.5303030303030303)	(6, 0.5303030303030303)	(7, 0.5303030303030303)	(8, 0.5303030303030303)	(9, 0.5303030303030303)	(10, 0.5454545454545454)	(15, 0.6060606060606061)	(20, 0.6060606060606061)	(25, 0.6515151515151515)	(30, 0.6818181818181818)	(35, 0.6818181818181818)	(40, 0.6818181818181818)	(45, 0.6818181818181818)	(50, 0.6818181818181818)	(55, 0.7121212121212122)	(60, 0.7575757575757576)	(65, 0.7575757575757576)	(70, 0.7575757575757576)	(75, 0.7575757575757576)	(80, 0.7575757575757576)	(85, 0.7575757575757576)	(90, 0.7575757575757576)	(95, 0.7575757575757576)	(100, 0.7575757575757576)	(105, 0.7575757575757576)	(110, 0.7575757575757576)	(115, 0.7575757575757576)	(120, 0.7575757575757576)	(125, 0.7575757575757576)	(130, 0.7575757575757576)	(135, 0.7575757575757576)	(140, 0.7575757575757576)
AbrahamSimpson_R2_filtered - polya	(1, 0.5343511450381679)	(2, 0.5343511450381679)	(3, 0.5343511450381679)	(4, 0.5343511450381679)	(5, 0.5343511450381679)	(6, 0.5343511450381679)	(7, 0.5343511450381679)	(8, 0.5343511450381679)	(9, 0.5343511450381679)	(10, 0.549618320610687)	(15, 0.6106870229007634)	(20, 0.6106870229007634)	(25, 0.6564885496183207)	(30, 0.6870229007633588)	(35, 0.6870229007633588)	(40, 0.6870229007633588)	(45, 0.6870229007633588)	(50, 0.6870229007633588)	(55, 0.7175572519083969)	(60, 0.7633587786259542)	(65, 0.7633587786259542)	(70, 0.7633587786259542)	(75, 0.7633587786259542)	(80, 0.7633587786259542)	(85, 0.7633587786259542)	(90, 0.7633587786259542)	(95, 0.7633587786259542)	(100, 0.7633587786259542)	(105, 0.7633587786259542)	(110, 0.7633587786259542)	(115, 0.7633587786259542)	(120, 0.7633587786259542)	(125, 0.7633587786259542)	(130, 0.7633587786259542)	(135, 0.7633587786259542)	(140, 0.7633587786259542)
BartSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.015060240963855423)	(40, 0.07530120481927711)	(45, 0.07530120481927711)	(50, 0.07530120481927711)	(55, 0.07530120481927711)	(60, 0.15060240963855423)	(65, 0.286144578313253)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.3162650602409639)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5873493975903614)	(140, 0.6024096385542169)
BartSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.015163002274450341)	(40, 0.0758150113722517)	(45, 0.0758150113722517)	(50, 0.0758150113722517)	(55, 0.0758150113722517)	(60, 0.1516300227445034)	(65, 0.28809704321455654)	(70, 0.3032600454890068)	(75, 0.3032600454890068)	(80, 0.3032600454890068)	(85, 0.31842304776345715)	(90, 0.37907505686125853)	(95, 0.37907505686125853)	(100, 0.37907505686125853)	(105, 0.37907505686125853)	(110, 0.4548900682335103)	(115, 0.5155420773313116)	(120, 0.530705079605762)	(125, 0.530705079605762)	(130, 0.530705079605762)	(135, 0.5913570887035633)	(140, 0.6065200909780136)
BartSimpson_R2 - polya	(1, 0.15060240963855423)	(2, 0.15060240963855423)	(3, 0.15060240963855423)	(4, 0.15060240963855423)	(5, 0.15060240963855423)	(6, 0.15060240963855423)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.16566265060240964)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.30120481927710846)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.3313253012048193)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.37650602409638556)	(115, 0.37650602409638556)	(120, 0.42168674698795183)	(125, 0.45180722891566266)	(130, 0.45180722891566266)	(135, 0.48192771084337344)	(140, 0.5271084337349398)
BartSimpson_R2_filtered - polya	(1, 0.0758150113722517)	(2, 0.0758150113722517)	(3, 0.0758150113722517)	(4, 0.0758150113722517)	(5, 0.0758150113722517)	(6, 0.0758150113722517)	(7, 0.0758150113722517)	(8, 0.0758150113722517)	(9, 0.0758150113722517)	(10, 0.0758150113722517)	(15, 0.0758150113722517)	(20, 0.0758150113722517)	(25, 0.0758150113722517)	(30, 0.0758150113722517)	(35, 0.09097801364670204)	(40, 0.1516300227445034)	(45, 0.1516300227445034)	(50, 0.22744503411675515)	(55, 0.22744503411675515)	(60, 0.22744503411675515)	(65, 0.22744503411675515)	(70, 0.22744503411675515)	(75, 0.22744503411675515)	(80, 0.22744503411675515)	(85, 0.22744503411675515)	(90, 0.2577710386656558)	(95, 0.3032600454890068)	(100, 0.3032600454890068)	(105, 0.3032600454890068)	(110, 0.3032600454890068)	(115, 0.3032600454890068)	(120, 0.34874905231235787)	(125, 0.37907505686125853)	(130, 0.37907505686125853)	(135, 0.4094010614101592)	(140, 0.45489006823351025)
HomerSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.015151515151515152)	(15, 0.07575757575757576)	(20, 0.07575757575757576)	(25, 0.07575757575757576)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.07575757575757576)	(45, 0.07575757575757576)	(50, 0.07575757575757576)	(55, 0.07575757575757576)	(60, 0.07575757575757576)	(65, 0.13636363636363635)	(70, 0.15151515151515152)	(75, 0.15151515151515152)	(80, 0.18181818181818182)	(85, 0.28787878787878785)	(90, 0.30303030303030304)	(95, 0.36363636363636365)	(100, 0.3787878787878788)	(105, 0.3787878787878788)	(110, 0.3787878787878788)	(115, 0.3787878787878788)	(120, 0.3787878787878788)	(125, 0.3787878787878788)	(130, 0.4545454545454545)	(135, 0.4545454545454545)	(140, 0.45454545454545453)
HomerSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.015278838808250572)	(15, 0.07639419404125286)	(20, 0.07639419404125286)	(25, 0.07639419404125286)	(30, 0.07639419404125286)	(35, 0.07639419404125286)	(40, 0.07639419404125286)	(45, 0.07639419404125286)	(50, 0.07639419404125286)	(55, 0.07639419404125286)	(60, 0.07639419404125286)	(65, 0.13750954927425513)	(70, 0.15278838808250572)	(75, 0.15278838808250572)	(80, 0.18334606569900685)	(85, 0.29029793735676085)	(90, 0.30557677616501144)	(95, 0.36669213139801377)	(100, 0.3819709702062643)	(105, 0.3819709702062643)	(110, 0.3819709702062643)	(115, 0.3819709702062643)	(120, 0.3819709702062643)	(125, 0.3819709702062643)	(130, 0.45836516424751717)	(135, 0.45836516424751717)	(140, 0.45836516424751717)
