Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
AbrahamSimpson_R1	(151, 1320.0)																							
AbrahamSimpson_R1_filtered	(40, 1.0)	(45, 1.0)	(50, 0.0)	(55, 1.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 6.0)	(80, 1.0)	(85, 1.0)	(90, 5.0)	(95, 5.0)	(100, 5.0)	(105, 3.0)	(110, 13.0)	(115, 13.0)	(120, 3.0)	(125, 34.0)	(130, 35.0)	(135, 22.0)	(140, 111.0)	(145, 23.0)	(150, 1023.0)	
AbrahamSimpson_R2	(151, 1320.0)																							
AbrahamSimpson_R2_filtered	(45, 1.0)	(50, 0.0)	(55, 0.0)	(60, 7.0)	(65, 2.0)	(70, 0.0)	(75, 4.0)	(80, 1.0)	(85, 1.0)	(90, 5.0)	(95, 5.0)	(100, 1.0)	(105, 1.0)	(110, 16.0)	(115, 7.0)	(120, 8.0)	(125, 40.0)	(130, 32.0)	(135, 23.0)	(140, 135.0)	(145, 26.0)	(150, 995.0)		
BartSimpson_R1	(151, 1328.0)																							
BartSimpson_R1_filtered	(40, 1.0)	(45, 0.0)	(50, 1.0)	(55, 2.0)	(60, 5.0)	(65, 1.0)	(70, 0.0)	(75, 0.0)	(80, 1.0)	(85, 4.0)	(90, 1.0)	(95, 4.0)	(100, 9.0)	(105, 9.0)	(110, 13.0)	(115, 10.0)	(120, 26.0)	(125, 22.0)	(130, 25.0)	(135, 33.0)	(140, 103.0)	(145, 28.0)	(150, 1021.0)	
BartSimpson_R2	(151, 1328.0)																							
BartSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 1.0)	(60, 5.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.0)	(90, 0.0)	(95, 4.0)	(100, 10.0)	(105, 9.0)	(110, 12.0)	(115, 10.0)	(120, 24.0)	(125, 21.0)	(130, 29.0)	(135, 34.0)	(140, 135.0)	(145, 28.0)	(150, 994.0)	
HomerSimpson_R1	(151, 1320.0)																							
HomerSimpson_R1_filtered	(40, 2.0)	(45, 1.0)	(50, 0.0)	(55, 1.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 3.0)	(80, 2.0)	(85, 5.0)	(90, 13.0)	(95, 4.0)	(100, 2.0)	(105, 7.0)	(110, 6.0)	(115, 21.0)	(120, 10.0)	(125, 30.0)	(130, 16.0)	(135, 22.0)	(140, 134.0)	(145, 36.0)	(150, 993.0)	
HomerSimpson_R2	(151, 1320.0)																							
HomerSimpson_R2_filtered	(40, 1.0)	(45, 2.0)	(50, 0.0)	(55, 1.0)	(60, 1.0)	(65, 0.0)	(70, 1.0)	(75, 2.0)	(80, 2.0)	(85, 5.0)	(90, 10.0)	(95, 3.0)	(100, 3.0)	(105, 6.0)	(110, 8.0)	(115, 14.0)	(120, 10.0)	(125, 34.0)	(130, 12.0)	(135, 20.0)	(140, 154.0)	(145, 42.0)	(150, 978.0)	
LisaSimpson_R1	(151, 1320.0)																							
LisaSimpson_R1_filtered	(35, 1.0)	(40, 1.0)	(45, 0.0)	(50, 1.0)	(55, 0.0)	(60, 4.0)	(65, 2.0)	(70, 3.0)	(75, 1.0)	(80, 2.0)	(85, 2.0)	(90, 4.0)	(95, 6.0)	(100, 14.0)	(105, 6.0)	(110, 10.0)	(115, 14.0)	(120, 17.0)	(125, 38.0)	(130, 38.0)	(135, 32.0)	(140, 99.0)	(145, 47.0)	(150, 969.0)
LisaSimpson_R2	(151, 1320.0)																							
LisaSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 3.0)	(55, 0.0)	(60, 3.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 3.0)	(85, 0.0)	(90, 2.0)	(95, 7.0)	(100, 16.0)	(105, 4.0)	(110, 12.0)	(115, 14.0)	(120, 16.0)	(125, 33.0)	(130, 37.0)	(135, 30.0)	(140, 118.0)	(145, 51.0)	(150, 960.0)	
MaggieSimpson_R1	(151, 1328.0)																							
MaggieSimpson_R1_filtered	(40, 2.0)	(45, 0.0)	(50, 1.0)	(55, 0.0)	(60, 0.0)	(65, 1.0)	(70, 2.0)	(75, 1.0)	(80, 2.0)	(85, 9.0)	(90, 7.0)	(95, 3.0)	(100, 10.0)	(105, 7.0)	(110, 10.0)	(115, 20.0)	(120, 27.0)	(125, 26.0)	(130, 31.0)	(135, 39.0)	(140, 133.0)	(145, 23.0)	(150, 965.0)	
MaggieSimpson_R2	(151, 1328.0)																							
MaggieSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 1.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 8.0)	(90, 5.0)	(95, 0.0)	(100, 11.0)	(105, 4.0)	(110, 11.0)	(115, 22.0)	(120, 19.0)	(125, 27.0)	(130, 34.0)	(135, 30.0)	(140, 144.0)	(145, 21.0)	(150, 980.0)	
MargeSimpson_R1	(151, 1328.0)																							
MargeSimpson_R2	(151, 1352.0)																							
PattyBouvier_R1	(151, 1320.0)																							
PattyBouvier_R2	(151, 1344.0)																							
SelmaBouvier_R1	(151, 1328.0)																							
SelmaBouvier_R2	(151, 1352.0)																							
