Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AbrahamSimpson	0.0	0.0	0.0	0.0	0.0	0.0	0.0								
AbrahamSimpson_R1										0.8333333333333286	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R1_filtered										0.839694656488561	45.0	146.34503816793892	151	10.0	0.00131
AbrahamSimpson_R2										0.7575757575757507	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R2_filtered										0.7633587786259568	46.0	146.20229007633588	151	0.0	0.00131
BartSimpson	0.0	94.29079999999999	0.36385599999999996	0.0026379999999999997	46.2265	151.0	151.0	99.32228915662651	14.457831325301203						
BartSimpson_R1										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R1_filtered										0.6065200909780089	46.0	146.0970432145565	151	0.0	0.0013189999999999999
BartSimpson_R2										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2_filtered										0.5307050796057666	46.0	146.2691432903715	151	0.0	0.0013189999999999999
HomerSimpson	0.0	94.1419	0.360249	0.0026179999999999997	45.9173	151.0	151.0	99.16666666666667	14.015151515151514						
HomerSimpson_R1										0.6060606060606091	45.0	151.0	151	10.0	0.00132
HomerSimpson_R1_filtered										0.6111535523300233	45.0	146.03896103896105	151	10.0	0.0013089999999999998
HomerSimpson_R2										0.6060606060606091	46.0	151.0	151	0.0	0.00132
HomerSimpson_R2_filtered										0.6111535523300233	46.0	146.18411000763942	151	10.0	0.0013089999999999998
LisaSimpson	0.0	93.8583	0.358197	0.0026219999999999998	46.2341	151.0	151.0	99.31818181818181	17.424242424242426						
LisaSimpson_R1										0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R1_filtered										0.30511060259344447	46.0	145.31502669717773	151	10.0	0.0013109999999999999
LisaSimpson_R2										0.37878787878787534	46.0	151.0	151	0.0	0.00132
LisaSimpson_R2_filtered										0.30511060259344447	46.0	145.66132723112128	151	0.0	0.0013109999999999999
MaggieSimpson	0.0	94.1464	0.361848	0.0026379999999999997	45.8993	151.0	151.0	99.32228915662651	14.984939759036145						
MaggieSimpson_R1										0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R1_filtered										0.2274450341167551	45.0	145.2221379833207	151	0.0	0.0013189999999999999
MaggieSimpson_R2										0.3765060240963862	46.0	151.0	151	10.0	0.001328
MaggieSimpson_R2_filtered										0.30326004548901153	46.0	145.9764973464746	151	10.0	0.0013189999999999999
MargeSimpson_R1										0.5271084337349379	46.0	151.0	151	10.0	0.001328
MargeSimpson_R2										0.7396449704142043	46.0	151.0	151	0.0	0.001352
PattyBouvier_R1										0.5303030303030312	46.0	151.0	151	0.0	0.00132
PattyBouvier_R2										0.5208333333333428	46.0	151.0	151	10.0	0.001344
SelmaBouvier_R1										0.22590361445783458	45.0	151.0	151	10.0	0.001328
SelmaBouvier_R2										0.5917159763313578	46.0	151.0	151	10.0	0.001352
