"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADCY3",33.8248930433741,0.461480320428961,0.541582328666079,0.852096340671953,0.394160622833411,0.980164102747671
"AGRP",34.1486748823718,-0.0678163704356293,0.583084553929501,-0.116306237197682,0.907409842593465,0.980164102747671
"ANKRD27",32.0304509484673,-0.0801752579073889,0.451778910664915,-0.177465693981574,0.859142609737559,0.980164102747671
"ANO4",32.2425670583399,0.178465491211355,0.465278743267911,0.383566826968911,0.701299530943994,0.980164102747671
"BDNF",40.6005455509218,-0.694852655743628,0.441549573588786,-1.57366850135551,0.115564107536697,0.534483997357225
"CADM1",32.0850361388328,-0.0304776855647308,0.45543117443559,-0.0669205080273687,0.946644986589273,0.980164102747671
"CADM2",41.0316086190438,-0.707599400404761,0.447000666607077,-1.58299406078236,0.113422818095827,0.534483997357225
"CALCR",32.1839767869906,0.0141378784742917,0.462022635900497,0.0305999692996351,0.975588566634865,0.980164102747671
"CNR1",53.8431098753088,0.169107120578472,0.419564962244884,0.40305348586227,0.686908877845502,0.980164102747671
"CREBRF",23.8208513496575,0.264217662164993,0.547253742115032,0.482806496934753,0.629233137299357,0.980164102747671
"DPP9",51.6975090405493,0.0903577670439161,0.635034386715193,0.14228799090913,0.88685253187882,0.980164102747671
"FTO",40.47657440592,0.236269662087549,1.1955366480222,0.197626448740334,0.843337339812645,0.980164102747671
"GIPR",40.4308100558309,0.207322320818094,0.556081493976577,0.372827225979987,0.70927703805107,0.980164102747671
"GPR151",61.877617470169,0.197415437371627,0.395994161879755,0.498531181456087,0.618109697111896,0.980164102747671
"GPR75",42.298646787039,-0.0527588503217064,0.432599668894212,-0.121957676150252,0.902932537523627,0.980164102747671
"KIAA0586",19.3144159123509,0.301337521435201,0.52303117184128,0.576136830190009,0.564522698864843,0.980164102747671
"KIAA1109",17.0864034994689,0.229074658651983,0.499326776700833,0.458767022600975,0.646401478533568,0.980164102747671
"KSR2",58.5145770692222,-0.744797050778682,0.472338607507837,-1.57682865414791,0.114834956509905,0.534483997357225
"LEP",45.2447845819981,-1.2915735054575,0.469765129085839,-2.74940268123113,0.00597039890781204,0.0552261898972614
"LEPR",27.7506733191856,3.31607024620753,0.896905516802049,3.69723475225251,0.000217960768456819,0.00403227421645116
"MC4R",36.9113400077742,-2.07810171323043,0.66149973912237,-3.14150042747938,0.00168084563361617,0.0207304294812661
"MRAP2",41.3884253123719,-0.722954239145025,0.554954822804152,-1.30272629309172,0.192668222198864,0.648065838305269
"NRP1",23.2438548241892,0.678159822265615,0.497101004562346,1.36422943434338,0.172495367039522,0.648065838305269
"NRP2",43.8154688693101,-0.299346153209138,0.459214073471367,-0.651866243876786,0.514487462803278,0.980164102747671
"NTRK2",24.6641789328598,-2.35288752240135,0.505215998125445,-4.65719124321381,3.20552648472073e-06,0.000118604479934667
"PCSK1",48.2018400982224,1.02350280120802,0.42384668918655,2.41479484757173,0.0157440745668944,0.116506151795019
"PDE3B",39.66372339949,-0.504674852445935,0.527163954424442,-0.957339454282186,0.33839594737071,0.96312692713202
"PHIP",15.1918632081558,0.370394136601303,0.564098528391924,0.656612485157842,0.511430118901737,0.980164102747671
"POMC",57.2721209348453,0.0126674418531123,0.509486155915847,0.0248631718566355,0.980164102747671,0.980164102747671
"PPARG",32.4211556829565,0.0338920183422153,0.489685061616791,0.0692118690129411,0.944820975658343,0.980164102747671
"ROBO1",20.4500800843762,-0.66834502525465,0.536781055924307,-1.24509801133685,0.21309572504982,0.657045152236946
"SH2B1",60.9038653195486,0.76199474068642,1.01643052325413,0.74967715279434,0.453449171049978,0.980164102747671
"SIM1",28.7264711701139,-0.0862840335096814,0.547830281740633,-0.157501394839893,0.874849708691203,0.980164102747671
"SPARC",48.8008329303238,-0.16149757860336,0.423141541790342,-0.381663256034971,0.702711157950726,0.980164102747671
"TMEM18",16.6443833376252,0.393757935418611,0.495336584190957,0.794930049557603,0.42665419331598,0.980164102747671
"UBR2",82.4993520763163,-0.374930244052638,0.276750825340556,-1.35475745588569,0.175494845444008,0.648065838305269
"UHMK1",25.59378337359,0.0638412947528583,0.441155869791388,0.144713692199193,0.884936928150394,0.980164102747671
