Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
AbrahamSimpson_R1	(1, 35.75909090909091)	(2, 36.28787878787879)	(3, 36.14848484848485)	(4, 36.2030303030303)	(5, 36.14393939393939)	(6, 36.374242424242425)	(7, 36.39090909090909)	(8, 36.71818181818182)	(9, 36.096969696969694)	(10, 36.268787878787876)	(15, 36.514545454545456)	(20, 36.36575757575758)	(25, 36.06363636363636)	(30, 36.339696969696966)	(35, 36.20666666666667)	(40, 36.42787878787879)	(45, 36.40090909090909)	(50, 36.17212121212121)	(55, 36.24939393939394)	(60, 36.267575757575756)	(65, 36.32090909090908)	(70, 36.004545454545465)	(75, 36.03878787878788)	(80, 36.05151515151515)	(85, 35.973030303030306)	(90, 36.06393939393939)	(95, 36.20333333333333)	(100, 35.907878787878786)	(105, 36.11787878787878)	(110, 36.10424242424243)	(115, 36.195757575757575)	(120, 36.166060606060604)	(125, 36.05090909090909)	(130, 35.62454545454545)	(135, 36.07757575757576)	(140, 35.86363636363636)	(145, 35.990303030303025)	(150, 35.96515151515152)
AbrahamSimpson_R2	(1, 36.20757575757576)	(2, 36.21666666666667)	(3, 36.28787878787879)	(4, 36.39242424242424)	(5, 36.04090909090909)	(6, 36.21363636363636)	(7, 36.53181818181818)	(8, 36.595454545454544)	(9, 36.301515151515154)	(10, 36.44424242424243)	(15, 36.3230303030303)	(20, 36.36757575757575)	(25, 36.00090909090909)	(30, 36.14575757575758)	(35, 35.993636363636355)	(40, 36.019090909090906)	(45, 36.17636363636363)	(50, 36.089696969696966)	(55, 35.958484848484844)	(60, 35.96606060606061)	(65, 36.07939393939394)	(70, 35.730909090909094)	(75, 36.04242424242425)	(80, 36.026666666666664)	(85, 36.11)	(90, 35.90060606060606)	(95, 35.94272727272727)	(100, 36.018484848484846)	(105, 35.86454545454545)	(110, 35.7269696969697)	(115, 36.04727272727273)	(120, 35.81333333333333)	(125, 35.94151515151515)	(130, 35.58121212121212)	(135, 35.54515151515152)	(140, 35.4669696969697)	(145, 35.55636363636364)	(150, 35.70454545454545)
BartSimpson_R1	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.064006024096386)	(45, 36.10361445783133)	(50, 36.39518072289157)	(55, 36.274698795180726)	(60, 36.14578313253012)	(65, 36.15512048192771)	(70, 36.2222891566265)	(75, 36.08780120481928)	(80, 36.18298192771085)	(85, 35.99066265060241)	(90, 36.29728915662651)	(95, 36.111746987951804)	(100, 36.0921686746988)	(105, 36.15963855421687)	(110, 36.08343373493976)	(115, 35.94819277108434)	(120, 35.91596385542169)	(125, 35.908734939759036)	(130, 36.13012048192771)	(135, 36.138253012048196)	(140, 35.873192771084334)	(145, 36.130421686746985)	(150, 36.08960843373494)
BartSimpson_R2	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.42620481927711)	(15, 36.30301204819277)	(20, 36.35632530120482)	(25, 36.267469879518075)	(30, 36.225)	(35, 35.76174698795181)	(40, 36.08253012048193)	(45, 36.21114457831326)	(50, 36.080120481927715)	(55, 36.14608433734939)	(60, 36.06566265060241)	(65, 36.0117469879518)	(70, 36.171987951807225)	(75, 35.89668674698795)	(80, 35.5710843373494)	(85, 35.769277108433734)	(90, 36.064156626506026)	(95, 36.093674698795176)	(100, 35.593674698795176)	(105, 35.84789156626506)	(110, 36.02981927710843)	(115, 35.993975903614455)	(120, 35.91234939759036)	(125, 35.7117469879518)	(130, 35.55)	(135, 35.83072289156627)	(140, 35.64638554216867)	(145, 35.54518072289157)	(150, 35.58810240963855)
HomerSimpson_R1	(1, 36.35909090909091)	(2, 36.45)	(3, 36.156060606060606)	(4, 36.198484848484846)	(5, 36.06363636363636)	(6, 36.6)	(7, 36.24848484848485)	(8, 36.52878787878788)	(9, 36.67727272727273)	(10, 36.38575757575758)	(15, 36.40393939393939)	(20, 36.33242424242424)	(25, 36.34181818181818)	(30, 36.199999999999996)	(35, 36.18303030303031)	(40, 36.17939393939394)	(45, 36.18848484848485)	(50, 36.14333333333333)	(55, 36.31424242424243)	(60, 36.10939393939394)	(65, 36.17636363636363)	(70, 36.21333333333333)	(75, 36.15666666666666)	(80, 36.22545454545455)	(85, 36.04333333333334)	(90, 35.979696969696974)	(95, 35.95469696969697)	(100, 35.987878787878785)	(105, 35.96212121212121)	(110, 35.96333333333333)	(115, 35.6760606060606)	(120, 36.13454545454546)	(125, 36.03969696969697)	(130, 36.14333333333333)	(135, 36.03121212121212)	(140, 35.988787878787875)	(145, 35.89060606060606)	(150, 36.07575757575758)
HomerSimpson_R2	(1, 36.13939393939394)	(2, 36.17272727272727)	(3, 36.236363636363635)	(4, 36.45757575757576)	(5, 36.11515151515152)	(6, 36.47121212121212)	(7, 36.49090909090909)	(8, 36.474242424242426)	(9, 36.43333333333333)	(10, 36.339696969696966)	(15, 36.2060606060606)	(20, 36.18030303030303)	(25, 36.228181818181824)	(30, 36.29424242424243)	(35, 36.155757575757576)	(40, 36.25242424242424)	(45, 36.1469696969697)	(50, 36.21848484848485)	(55, 35.8)	(60, 36.06575757575757)	(65, 35.82939393939394)	(70, 35.975151515151516)	(75, 36.00030303030303)	(80, 35.8209090909091)	(85, 35.81090909090909)	(90, 35.85575757575758)	(95, 35.79848484848485)	(100, 35.84666666666667)	(105, 35.84242424242424)	(110, 35.620303030303035)	(115, 35.63212121212121)	(120, 35.87212121212121)	(125, 35.736666666666665)	(130, 35.71757575757576)	(135, 35.50333333333333)	(140, 35.590606060606056)	(145, 35.75484848484849)	(150, 35.736363636363635)
LisaSimpson_R1	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.08060606060606)	(45, 36.3239393939394)	(50, 36.14727272727272)	(55, 36.16666666666667)	(60, 36.238787878787875)	(65, 36.22636363636364)	(70, 35.913333333333334)	(75, 35.84909090909091)	(80, 35.76818181818182)	(85, 36.156969696969696)	(90, 35.8209090909091)	(95, 35.85909090909091)	(100, 35.95)	(105, 35.81454545454545)	(110, 35.67575757575757)	(115, 35.585151515151516)	(120, 35.85181818181818)	(125, 35.87333333333333)	(130, 35.904242424242426)	(135, 35.769393939393936)	(140, 35.974242424242426)	(145, 35.74606060606061)	(150, 36.15227272727273)
LisaSimpson_R2	(1, 36.29242424242424)	(2, 36.14242424242424)	(3, 36.1030303030303)	(4, 36.39090909090909)	(5, 36.09090909090909)	(6, 36.05)	(7, 36.35454545454545)	(8, 36.127272727272725)	(9, 36.53636363636364)	(10, 36.18212121212121)	(15, 36.38787878787879)	(20, 36.06878787878788)	(25, 36.29878787878788)	(30, 36.19121212121212)	(35, 36.18030303030303)	(40, 36.27333333333333)	(45, 36.09484848484848)	(50, 36.21545454545455)	(55, 36.00575757575758)	(60, 36.0339393939394)	(65, 36.055454545454545)	(70, 36.0439393939394)	(75, 35.99666666666667)	(80, 35.82727272727273)	(85, 35.97409090909091)	(90, 35.84333333333334)	(95, 35.74454545454545)	(100, 36.012727272727275)	(105, 35.876060606060605)	(110, 35.89969696969697)	(115, 35.85424242424243)	(120, 35.625151515151515)	(125, 35.86939393939394)	(130, 35.59939393939394)	(135, 35.780606060606054)	(140, 35.53181818181818)	(145, 35.7469696969697)	(150, 35.983333333333334)
MaggieSimpson_R1	(1, 36.43674698795181)	(2, 35.894578313253014)	(3, 36.04216867469879)	(4, 35.721385542168676)	(5, 36.248493975903614)	(6, 36.44879518072289)	(7, 36.34789156626506)	(8, 36.295180722891565)	(9, 36.23795180722892)	(10, 36.39578313253013)	(15, 36.41867469879518)	(20, 36.51024096385542)	(25, 36.17620481927711)	(30, 36.209939759036146)	(35, 36.30331325301205)	(40, 36.413554216867475)	(45, 36.27108433734939)	(50, 36.20542168674699)	(55, 36.38584337349398)	(60, 36.42319277108434)	(65, 36.04427710843373)	(70, 36.18343373493976)	(75, 36.093674698795176)	(80, 36.1527108433735)	(85, 36.084939759036146)	(90, 36.147891566265066)	(95, 36.08102409638555)	(100, 35.947891566265056)	(105, 36.177108433734944)	(110, 35.869277108433735)	(115, 35.834638554216866)	(120, 35.90180722891566)	(125, 36.07349397590362)	(130, 35.76415662650602)	(135, 35.96355421686748)	(140, 35.94879518072289)	(145, 35.89307228915662)	(150, 36.12198795180723)
MaggieSimpson_R2	(1, 36.088855421686745)	(2, 35.71987951807229)	(3, 36.234939759036145)	(4, 36.015060240963855)	(5, 36.17921686746988)	(6, 36.16566265060241)	(7, 36.49246987951807)	(8, 36.42620481927711)	(9, 36.33132530120482)	(10, 36.3027108433735)	(15, 36.269277108433734)	(20, 36.31686746987952)	(25, 36.19186746987951)	(30, 36.1960843373494)	(35, 36.31114457831325)	(40, 36.20090361445783)	(45, 36.12951807228916)	(50, 36.0828313253012)	(55, 36.013253012048196)	(60, 36.16475903614458)	(65, 35.982831325301206)	(70, 35.822891566265056)	(75, 35.88493975903615)	(80, 35.861445783132524)	(85, 35.775)	(90, 35.93493975903615)	(95, 35.77078313253012)	(100, 35.88674698795181)	(105, 35.855120481927706)	(110, 36.1132530120482)	(115, 36.10240963855422)	(120, 36.022891566265066)	(125, 35.718674698795176)	(130, 35.816265060240966)	(135, 35.53403614457831)	(140, 35.753614457831326)	(145, 35.79879518072289)	(150, 35.52484939759036)
