Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
AbrahamSimpson_R1	(1, 35.75909090909091)	(2, 36.28787878787879)	(3, 36.14848484848485)	(4, 36.2030303030303)	(5, 36.14393939393939)	(6, 36.374242424242425)	(7, 36.39090909090909)	(8, 36.71818181818182)	(9, 36.096969696969694)	(10, 36.268787878787876)	(15, 36.514545454545456)	(20, 36.36575757575758)	(25, 36.06363636363636)	(30, 36.339696969696966)	(35, 36.20666666666667)	(40, 36.42787878787879)	(45, 36.40090909090909)	(50, 36.17212121212121)	(55, 36.24939393939394)	(60, 36.267575757575756)	(65, 36.32090909090908)	(70, 36.004545454545465)	(75, 36.03878787878788)	(80, 36.05151515151515)	(85, 35.973030303030306)	(90, 36.06393939393939)	(95, 36.20333333333333)	(100, 35.907878787878786)	(105, 36.11787878787878)	(110, 36.10424242424243)	(115, 36.195757575757575)	(120, 36.166060606060604)	(125, 36.05090909090909)	(130, 35.62454545454545)	(135, 36.07757575757576)	(140, 35.86363636363636)	(145, 35.990303030303025)	(150, 35.96515151515152)
AbrahamSimpson_R1_filtered	(1, 35.749618320610686)	(2, 36.282442748091604)	(3, 36.15114503816794)	(4, 36.196946564885494)	(5, 36.16641221374046)	(6, 36.36946564885496)	(7, 36.386259541984735)	(8, 36.71603053435115)	(9, 36.09007633587786)	(10, 36.265038167938926)	(15, 36.51450381679389)	(20, 36.364885496183206)	(25, 36.058320610687026)	(30, 36.33648854961832)	(35, 36.2042748091603)	(40, 36.42712098857586)	(45, 36.39954163483576)	(50, 36.16819571865443)	(55, 36.24203617781459)	(60, 36.26029074215761)	(65, 36.321258633921715)	(70, 35.999232540291636)	(75, 36.02827361507114)	(80, 36.053067858400674)	(85, 35.97911792745126)	(90, 36.08093359651283)	(95, 36.20125116882333)	(100, 35.906725658661095)	(105, 36.120130834203636)	(110, 36.09899348914931)	(115, 36.191200774692426)	(120, 36.15952487871131)	(125, 36.040129303274185)	(130, 35.64116389447903)	(135, 36.09065770297281)	(140, 35.80303939271642)	(145, 35.940516439048636)	(150, 36.099390233899676)
AbrahamSimpson_R2	(1, 36.20757575757576)	(2, 36.21666666666667)	(3, 36.28787878787879)	(4, 36.39242424242424)	(5, 36.04090909090909)	(6, 36.21363636363636)	(7, 36.53181818181818)	(8, 36.595454545454544)	(9, 36.301515151515154)	(10, 36.44424242424243)	(15, 36.3230303030303)	(20, 36.36757575757575)	(25, 36.00090909090909)	(30, 36.14575757575758)	(35, 35.993636363636355)	(40, 36.019090909090906)	(45, 36.17636363636363)	(50, 36.089696969696966)	(55, 35.958484848484844)	(60, 35.96606060606061)	(65, 36.07939393939394)	(70, 35.730909090909094)	(75, 36.04242424242425)	(80, 36.026666666666664)	(85, 36.11)	(90, 35.90060606060606)	(95, 35.94272727272727)	(100, 36.018484848484846)	(105, 35.86454545454545)	(110, 35.7269696969697)	(115, 36.04727272727273)	(120, 35.81333333333333)	(125, 35.94151515151515)	(130, 35.58121212121212)	(135, 35.54515151515152)	(140, 35.4669696969697)	(145, 35.55636363636364)	(150, 35.70454545454545)
AbrahamSimpson_R2_filtered	(1, 36.20152671755725)	(2, 36.21984732824428)	(3, 36.29160305343512)	(4, 36.38778625954198)	(5, 36.033587786259545)	(6, 36.21679389312977)	(7, 36.52824427480916)	(8, 36.59236641221374)	(9, 36.29618320610687)	(10, 36.4418320610687)	(15, 36.325496183206106)	(20, 36.36824427480916)	(25, 35.9969465648855)	(30, 36.148702290076336)	(35, 35.99175572519084)	(40, 36.023511450381676)	(45, 36.173740458015274)	(50, 36.08571428571429)	(55, 35.95737203972498)	(60, 35.97188991571273)	(65, 36.079064728383614)	(70, 35.72646153846154)	(75, 36.035072658725184)	(80, 36.03302254635588)	(85, 36.108101901857694)	(90, 35.905040482352646)	(95, 35.94951772607421)	(100, 35.9979246946045)	(105, 35.85674201091192)	(110, 35.71819320584286)	(115, 36.01719612471093)	(120, 35.81360571285577)	(125, 35.92468079825213)	(130, 35.58560275476507)	(135, 35.620179239905056)	(140, 35.50331683948458)	(145, 35.47790229896801)	(150, 35.89408910679157)
BartSimpson_R1	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.064006024096386)	(45, 36.10361445783133)	(50, 36.39518072289157)	(55, 36.274698795180726)	(60, 36.14578313253012)	(65, 36.15512048192771)	(70, 36.2222891566265)	(75, 36.08780120481928)	(80, 36.18298192771085)	(85, 35.99066265060241)	(90, 36.29728915662651)	(95, 36.111746987951804)	(100, 36.0921686746988)	(105, 36.15963855421687)	(110, 36.08343373493976)	(115, 35.94819277108434)	(120, 35.91596385542169)	(125, 35.908734939759036)	(130, 36.13012048192771)	(135, 36.138253012048196)	(140, 35.873192771084334)	(145, 36.130421686746985)	(150, 36.08960843373494)
BartSimpson_R1_filtered	(1, 36.344958301743745)	(2, 36.31614859742229)	(3, 36.18726307808946)	(4, 36.17361637604245)	(5, 36.46929492039424)	(6, 36.5117513267627)	(7, 36.504169825625475)	(8, 36.302501895375286)	(9, 36.49203942380591)	(10, 36.42592873388931)	(15, 36.37649734647461)	(20, 36.32009097801365)	(25, 36.48081880212282)	(30, 36.43411675511752)	(35, 36.42592873388931)	(40, 36.05748549563345)	(45, 36.102276176024276)	(50, 36.39226664730967)	(55, 36.27753850701348)	(60, 36.144258914743276)	(65, 36.14920124330093)	(70, 36.22414056531703)	(75, 36.108479755538575)	(80, 36.178456837280365)	(85, 35.98122189695495)	(90, 36.29754601226994)	(95, 36.1147186040014)	(100, 36.10078045612146)	(105, 36.16601292558549)	(110, 36.094431627135194)	(115, 35.94797091183195)	(120, 35.91705043674426)	(125, 35.92650446205086)	(130, 36.10171762726123)	(135, 36.12402206840801)	(140, 35.89335826417333)	(145, 36.10019200815195)	(150, 36.068704868718264)
BartSimpson_R2	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.42620481927711)	(15, 36.30301204819277)	(20, 36.35632530120482)	(25, 36.267469879518075)	(30, 36.225)	(35, 35.76174698795181)	(40, 36.08253012048193)	(45, 36.21114457831326)	(50, 36.080120481927715)	(55, 36.14608433734939)	(60, 36.06566265060241)	(65, 36.0117469879518)	(70, 36.171987951807225)	(75, 35.89668674698795)	(80, 35.5710843373494)	(85, 35.769277108433734)	(90, 36.064156626506026)	(95, 36.093674698795176)	(100, 35.593674698795176)	(105, 35.84789156626506)	(110, 36.02981927710843)	(115, 35.993975903614455)	(120, 35.91234939759036)	(125, 35.7117469879518)	(130, 35.55)	(135, 35.83072289156627)	(140, 35.64638554216867)	(145, 35.54518072289157)	(150, 35.58810240963855)
BartSimpson_R2_filtered	(1, 36.29795299469295)	(2, 36.36315390447309)	(3, 36.19939347990902)	(4, 36.56027293404094)	(5, 36.26459438968916)	(6, 36.27824109173616)	(7, 36.43593631539045)	(8, 36.41015921152388)	(9, 36.558756633813495)	(10, 36.42410917361637)	(15, 36.30371493555724)	(20, 36.35193328278999)	(25, 36.2661106899166)	(30, 36.22547384382108)	(35, 35.7587566338135)	(40, 36.08190690284749)	(45, 36.214567526555385)	(50, 36.07890743550835)	(55, 36.14699545916998)	(60, 36.06814963279227)	(65, 36.015243902439025)	(70, 36.169207317073166)	(75, 35.90030487804877)	(80, 35.5704268292683)	(85, 35.81200558952854)	(90, 36.058931297709925)	(95, 36.088313554429405)	(100, 35.59194519425671)	(105, 35.86328860452342)	(110, 36.015653255732396)	(115, 36.0059996267717)	(120, 35.91760238206186)	(125, 35.6768624512609)	(130, 35.54434403057503)	(135, 35.79002025875387)	(140, 35.62296307151238)	(145, 35.48684512903309)	(150, 35.49782810918464)
HomerSimpson_R1	(1, 36.35909090909091)	(2, 36.45)	(3, 36.156060606060606)	(4, 36.198484848484846)	(5, 36.06363636363636)	(6, 36.6)	(7, 36.24848484848485)	(8, 36.52878787878788)	(9, 36.67727272727273)	(10, 36.38575757575758)	(15, 36.40393939393939)	(20, 36.33242424242424)	(25, 36.34181818181818)	(30, 36.199999999999996)	(35, 36.18303030303031)	(40, 36.17939393939394)	(45, 36.18848484848485)	(50, 36.14333333333333)	(55, 36.31424242424243)	(60, 36.10939393939394)	(65, 36.17636363636363)	(70, 36.21333333333333)	(75, 36.15666666666666)	(80, 36.22545454545455)	(85, 36.04333333333334)	(90, 35.979696969696974)	(95, 35.95469696969697)	(100, 35.987878787878785)	(105, 35.96212121212121)	(110, 35.96333333333333)	(115, 35.6760606060606)	(120, 36.13454545454546)	(125, 36.03969696969697)	(130, 36.14333333333333)	(135, 36.03121212121212)	(140, 35.988787878787875)	(145, 35.89060606060606)	(150, 36.07575757575758)
HomerSimpson_R1_filtered	(1, 36.353705118411)	(2, 36.445378151260506)	(3, 36.14896867838044)	(4, 36.19174942704355)	(5, 36.064935064935064)	(6, 36.60580595874713)	(7, 36.242169595110774)	(8, 36.52482811306341)	(9, 36.67456073338426)	(10, 36.38426279602751)	(15, 36.40076394194042)	(20, 36.33231474407945)	(25, 36.34942704354469)	(30, 36.20244461420932)	(35, 36.18013750954927)	(40, 36.17347524297254)	(45, 36.1840856924254)	(50, 36.151914241960185)	(55, 36.310517094694106)	(60, 36.11264367816092)	(65, 36.17423312883435)	(70, 36.211349693251535)	(75, 36.15634188864125)	(80, 36.23275073799543)	(85, 36.0481666358922)	(90, 35.990643517857464)	(95, 35.935688081127935)	(100, 35.97203531561411)	(105, 35.94412693942849)	(110, 35.94764673824104)	(115, 35.72364295275576)	(120, 36.12920467540974)	(125, 36.039379078879925)	(130, 36.16648101105797)	(135, 36.01829253302448)	(140, 35.93395115346853)	(145, 35.88282043418804)	(150, 35.98796132195888)
