UniqueCount	AmbigCount
0	29
0	25
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	29
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	30
0	30
0	29
0	29
0	29
0	29
0	29
0	22
0	18
0	18
0	17
0	18
0	25
0	25
0	25
0	24
0	24
0	26
0	25
0	25
0	25
0	25
0	24
0	24
0	24
0	26
0	26
0	26
0	25
0	25
0	25
0	25
0	25
0	14
0	14
0	14
0	31
1	31
32	0
0	27
0	30
0	27
0	30
0	26
0	29
0	25
0	28
0	25
0	28
0	12
0	24
0	22
0	24
0	21
0	20
0	20
0	28
0	28
0	29
0	26
0	29
0	26
0	25
0	28
0	25
0	25
0	11
0	23
0	54
0	50
0	50
0	50
0	54
0	54
0	54
0	54
0	55
0	55
0	54
0	55
0	55
0	55
0	54
0	54
0	54
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	54
0	54
0	54
1	54
0	52
0	52
0	54
0	54
0	54
0	54
0	7
0	52
0	52
0	52
0	50
0	52
0	52
0	51
0	7
0	49
0	30
1	28
0	30
0	55
0	57
0	55
0	55
0	57
0	55
0	55
0	57
0	59
0	57
0	57
0	59
0	57
0	63
0	61
0	57
0	57
0	55
0	55
0	55
0	62
0	56
0	54
0	60
0	60
0	60
0	15
0	15
0	60
0	60
0	60
0	60
0	60
0	60
0	42
0	42
0	45
0	44
0	46
0	41
0	46
0	42
0	43
0	16
0	12
0	43
0	42
0	45
0	42
0	44
0	40
0	45
0	45
0	47
0	48
0	45
0	46
0	46
0	45
0	45
0	39
0	44
0	42
0	42
0	43
0	40
0	42
0	42
0	33
0	10
0	10
0	14
0	15
0	16
0	14
0	14
0	11
0	13
0	14
0	13
0	7
0	21
0	21
0	21
0	21
0	19
0	21
0	19
0	19
0	21
0	21
0	20
0	9
0	9
0	41
0	18
0	41
0	18
0	9
0	9
0	9
0	9
0	9
0	20
0	9
0	9
0	42
0	18
0	42
0	18
0	9
0	9
0	9
0	9
0	46
0	48
0	48
0	48
0	46
0	39
0	46
0	15
0	10
0	10
0	10
0	39
0	46
0	48
0	48
0	48
0	39
0	15
0	10
0	10
0	10
0	48
0	39
17	64
10	42
0	43
0	41
0	43
0	43
0	22
0	45
0	43
0	43
0	43
0	43
0	45
0	43
0	45
0	43
0	43
0	45
0	43
0	43
1	43
0	43
0	41
0	41
0	22
0	22
0	24
0	24
0	22
0	22
0	22
0	22
0	22
0	20
0	43
0	20
0	41
0	20
0	43
0	41
0	41
0	41
0	41
0	43
0	41
0	43
0	41
0	20
0	20
0	22
0	22
0	20
0	20
0	20
0	20
0	20
0	41
0	34
0	47
0	47
0	47
0	47
0	47
0	48
0	47
0	47
0	47
0	47
0	47
0	47
0	49
0	49
0	47
0	44
0	47
0	44
0	49
0	46
0	49
0	46
0	49
0	51
0	51
0	48
0	47
0	47
0	49
0	48
0	47
0	51
0	45
0	34
0	34
0	36
0	26
0	49
0	47
0	47
0	39
0	39
0	39
0	47
0	47
0	47
0	47
0	47
0	48
0	47
0	47
0	47
0	47
0	47
0	47
0	49
0	49
0	44
0	47
0	44
0	49
0	46
0	49
0	46
0	49
0	51
0	51
0	48
0	47
0	47
0	49
0	48
0	47
0	51
0	47
0	47
0	39
0	39
0	39
0	75
0	73
0	69
0	58
0	19
0	19
0	19
0	19
0	68
0	62
0	51
0	19
0	19
0	19
0	19
0	76
0	77
0	76
0	29
0	21
3	28
0	29
0	21
0	21
5	18
0	44
0	4
0	44
1	45
0	45
0	44
0	43
0	44
0	43
0	4
0	29
0	30
0	30
0	35
0	30
0	30
0	35
0	35
0	30
0	30
0	35
0	35
0	34
0	5
0	5
0	5
0	5
0	5
4	41
0	35
0	30
0	30
0	30
0	35
0	30
0	30
0	30
0	35
0	30
0	30
0	35
0	30
0	30
0	30
0	35
0	35
0	30
0	35
0	35
0	5
0	5
0	5
0	30
0	30
0	41
0	41
0	41
0	40
0	40
0	40
0	40
0	36
0	47
0	45
0	46
0	44
0	44
0	16
0	30
0	30
0	37
0	37
0	46
0	44
0	37
0	37
0	44
0	36
0	49
0	51
0	48
0	50
0	48
0	50
0	48
0	48
0	50
0	48
0	50
0	23
0	25
0	23
0	40
0	39
0	37
0	39
0	39
0	38
0	39
0	38
0	38
0	37
0	37
0	35
0	21
0	47
0	46
0	49
0	37
0	23
0	37
0	38
0	40
0	30
0	30
0	30
0	49
0	51
0	48
0	50
0	48
0	50
0	48
0	48
0	48
0	22
0	37
0	49
0	46
0	51
0	45
0	44
0	49
0	51
0	51
0	47
0	52
0	50
0	39
0	38
0	37
0	36
0	48
0	48
0	52
0	15
0	48
0	52
0	15
0	46
1	49
2	47
0	46
1	43
0	42
0	38
0	40
0	32
0	38
0	36
0	42
0	40
0	30
0	30
0	42
0	42
0	38
0	36
0	26
0	46
0	45
0	48
0	45
0	48
0	45
0	48
0	45
0	48
0	48
0	51
0	54
0	54
0	51
0	54
0	54
0	46
0	46
0	48
0	50
0	53
0	53
0	53
0	47
0	45
0	43
0	46
0	39
0	39
0	39
0	42
0	17
0	55
0	53
0	56
0	56
0	58
0	50
1	53
0	50
0	53
0	53
0	51
0	51
0	43
0	34
0	32
0	15
0	15
0	34
0	34
0	32
0	53
0	44
0	35
0	33
0	52
0	15
0	33
0	33
0	31
0	29
1	31
0	31
